docId,filename,top topics, and contribution to doc ...
79,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC49_96001-98000.txt,50,0.165,37,0.160,33,0.125,14,0.118,15,0.103,39,0.084,23,0.062
80,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC4_6001-8000.txt,30,0.263,14,0.155,37,0.120,32,0.069
81,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC50_98001-100000.txt,37,0.178,32,0.153,39,0.120,23,0.096,50,0.081,35,0.075,15,0.068,33,0.055
82,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC51_100001-102000.txt,39,0.211,50,0.168,37,0.106,23,0.092,33,0.087,34,0.084,14,0.076,6,0.061
83,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC52_102001-104000.txt,39,0.196,37,0.176,50,0.145,42,0.107,15,0.099,23,0.067,33,0.051
84,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC53_104001-106000.txt,37,0.203,39,0.152,50,0.133,14,0.106,15,0.092,33,0.081,42,0.055,23,0.052
85,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC54_106001-108000.txt,2,0.193,37,0.121,15,0.121,34,0.089,50,0.081,35,0.058,6,0.054,33,0.050
86,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC55_108001-110000.txt,39,0.129,37,0.126,2,0.125,15,0.100,14,0.100,50,0.096,34,0.070,35,0.064
87,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC56_110001-112000.txt,37,0.260,35,0.152,50,0.127,39,0.115,34,0.104
88,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC57_112001-114000.txt,37,0.258,35,0.187,50,0.105,14,0.090,39,0.084,34,0.077
89,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC58_114001-116000.txt,37,0.219,35,0.167,32,0.123,39,0.088,34,0.080,50,0.064,14,0.050
90,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC59_116001-118000.txt,37,0.170,50,0.166,39,0.096,33,0.085,15,0.072,14,0.051
91,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC5_8001-10000.txt,30,0.248,6,0.144,14,0.117,23,0.079,50,0.071
92,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC60_118001-120000.txt,37,0.152,39,0.133,50,0.124,33,0.101,23,0.094,14,0.090,6,0.053
